asian	-9.882891518268169
exporters	-8.51601524300538
fear	-10.12545315543948
damage	-9.0944341579039
from	-5.043318330232618
japan	-6.512946680110118
rift	-12.958666499495697
mounting	-10.96623633480549
trade	-6.018766767186992
friction	-10.689982958177332
between	-7.0762730474420765
the	-2.9114105484054873
and	-3.905057913314472
has	-5.567662364517803
raised	-8.196492564697941
fears	-9.675252153489925
among	-8.387397865183287
many	-8.20220686596138
of	-3.5445964790646185
asia	-9.753213694959637
exporting	-9.808783546114448
nations	-7.97505987778736
that	-5.129301327161804
row	-9.329890969451466
could	-6.765622578989345
inflict	-14.057278788163806
far	-8.240167628200602
reaching	-10.446360875519582
economic	-7.125806982564353
businessmen	-9.979741344258086
officials	-7.18101417627304
said	-3.9154438505711955
they	-6.1959369925638175
told	-6.79394917068697
reuter	-9.650559540899552
correspondents	-12.111368639108493
in	-3.773541376660577
capitals	-12.111368639108493
move	-7.948031205399441
against	-6.7494060074001
might	-8.060826699544785
boost	-8.654601406291526
protectionist	-9.557469117833541
sentiment	-9.898395704804134
lead	-8.404789607895156
to	-3.554954734538974
curbs	-10.273089154245545
on	-4.925548816769535
american	-7.151525511852342
imports	-7.2050362191119275
their	-6.834712769341635
products	-7.313219601852459
but	-5.868311924514931
some	-6.7974591778006195
while	-7.216732258875119
conflict	-10.446360875519582
would	-5.60772224546338
hurt	-9.726545447877475
them	-8.060826699544785
long	-7.625947706230328
run	-9.228965050861506
short	-7.930409604049621
term	-7.517692832546136
tokyo	-8.42965767447317
loss	-5.515588125147182
be	-5.299966941227398
gain	-7.391595070381397
it	-4.74221810541722
will	-5.365796211650879
impose	-9.739790674627496
mln	-4.2251261332323
dlrs	-4.630457007746964
tariffs	-8.500450726464269
japanese	-7.186187493553261
electronics	-9.228965050861506
goods	-8.046011613759644
april	-6.431196030091425
retaliation	-9.213091701705215
for	-4.526160116246653
alleged	-10.12545315543948
failure	-9.32108033976931
stick	-10.96623633480549
pact	-7.998155592582009
not	-5.670422098475572
sell	-7.401838437796159
semiconductors	-9.687830935696784
world	-6.983161971966444
markets	-7.357778448002128
at	-5.201187732911517
below	-7.908810492246159
cost	-7.919551734077572
unofficial	-11.97783724648397
estimates	-8.48893428440271
put	-8.298377014286526
impact	-8.539825891699099
billion	-5.386678050118256
spokesmen	-11.166907030267641
major	-7.149523509181669
firms	-8.225396310880289
virtually	-10.207131186453747
halt	-10.086986874611684
exports	-6.952313339893964
