e|i	-3.7517723334849937
a|e	-3.8206094295997164
i|e	-3.9251914321781287
e|a	-3.954140822224239
a|i	-4.24673033258636
t|te	-4.403269073250002
r|re	-4.601617965950996
s|c	-4.624844816560812
e|ea	-4.703582892607684
a|o	-4.706411748808161
o|a	-4.709248630143361
a|al	-4.709248630143361
i|a	-4.826676615201305
re|r	-4.872436232350772
e|o	-4.885904449401639
ea|e	-4.920390625472808
te|t	-4.970760984861758
l|le	-5.000725773563694
e|es	-5.0199202208198415
o|ou	-5.1132942915973
n|m	-5.134800496818263
o|e	-5.1976013980572935
a|ai	-5.1976013980572935
le|l	-5.2022417776137955
n|ne	-5.211587640032033
e|er	-5.221021672265392
c|s	-5.230545553776648
e|ed	-5.2450036369518775
a|ac	-5.279574981016966
r|ri	-5.305021646678131
er|re	-5.331132790681816
c|ch	-5.33643784291151
a|an	-5.357944048132473
ne|n	-5.41382450652693
o|u	-5.4312162492387985
ar|a	-5.4312162492387985
u|e	-5.485283470509074
er|e	-5.485283470509074
e|u	-5.497705990507631
a|ap	-5.503975603521227
se|s	-5.510284772714492
o|om	-5.510284772714492
ou|o	-5.510284772714492
e|y	-5.535927203327829
a|ar	-5.535927203327829
e|en	-5.562244511645202
i|in	-5.5892731840331225
n|ns	-5.617052748140198
i|y	-5.617052748140198
m|n	-5.631237383132154
ai|a	-5.638405872610766
es|e	-5.6602249200054064
u|i	-5.682530677519705
i|is	-5.682530677519705
u|o	-5.705345355285876
h|he	-5.713067401379786
s|se	-5.720849541821841
o|or	-5.728692719282867
u|a	-5.736597898789981
y|i	-5.744566068439157
a|u	-5.760695450369041
is|i	-5.768858761008202
ei|ie	-5.768858761008202
al|a	-5.768858761008202
el|le	-5.7770892601447175
s|st	-5.785388062959412
u|ur	-5.793756312629929
i|u	-5.793756312629929
ed|e	-5.8107058709437025
n|ni	-5.819289614635093
he|h	-5.819289614635093
de|d	-5.827947677378209
g|gu	-5.836681357346963
a|as	-5.836681357346963
re|er	-5.845491987029118
an|a	-5.890748578617239
d|t	-5.909440711629391
g|ge	-5.928488906600085
|-	-5.947906992457187
s|sc	-5.957759288900199
i|o	-5.957759288900199
ie|i	-5.957759288900199
e|el	-5.967709619753367
o|i	-5.977759955606868
il|i	-5.977759955606868
ec|e	-5.977759955606868
t|ti	-5.9879123270708865
i|it	-6.008531614273622
et|te	-6.008531614273622
w|wh	-6.019002914140917
r|ra	-6.029585023471455
m|me	-6.029585023471455
ic|ci	-6.029585023471455
u|ui	-6.0402803125882025
as|a	-6.051091228692418
a|au	-6.073070135411194
a|at	-6.073070135411194
p|pe	-6.095542991263252
c|ci	-6.095542991263252
